Unnamed: 0,Brand,Price,Processor_Name,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,SSD,HDD,Adapter,Battery_Life,Battery_Life_num
1777,Dell,41400.0,Intel Core i3 (10th Gen), 16 GB Expandable,8 GB , DDR4 RAM ,0.21818181818181817,LED,15.6 ,UHD,NO SSD,1024 GB HDD Storage,0.0,Upto 8 Hrs Battery Life,8.0
1783,Lenovo,36990.0,Intel Core i3 (7th Gen),Not Expandable,4 GB , DDR4 RAM,0.41818181818181815,LED,14 ,HD 620,NO SSD,1024 GB HDD Storage,0.0,Upto 6 Hrs Battery Life,6.0
1786,Lenovo,39990.0,Intel Core i3 (8th Gen),Not Expandable,4 GB , DDR4 RAM,0.4,LED,14 ,UHD 620,256 GB SSD Storage,No HDD,0.0,Upto 7 Hrs Battery Life,7.0
1788,Lenovo,17990.0,AMD Dual-Core A6 APU,Not Expandable,4 GB , DDR4 RAM,0.4727272727272727,LED,15.6 ,Radeon,NO SSD,1024 GB HDD Storage,0.09090909090909091, Upto 4.5 Hrs Battery Life,4.5
1796,Dell,37990.0,Intel Core i3 (6th Gen), 16 GB Expandable,4 GB , DDR3 RAM ,0.36363636363636365,LED,15.6 ,HD 520,NO SSD,1024 GB HDD Storage,0.0,Upto 8 Hrs Battery Life,8.0
1797,Apple,127990.0,Intel Core i5 (8th Gen),Not Expandable,8 GB LP, LPDDR3 RAM,0.29090909090909095,LED,13.3 ,UHD 617,256 GB SSD Storage,No HDD,0.0, Upto 13 Hrs Battery Life,13.0
1798,Lenovo,57990.0,Intel Core i7 (12th Gen),Not Expandable,16 GB , DDR4 RAM,0.8545454545454546,LCD,15.6 ,Iris Xe,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 6 Hrs Battery Life,6.0
1806,ASUS,44990.0,Intel Core i3 (11th Gen),Not Expandable,8 GB , DDR4 RAM,0.7272727272727273,LED,14 ,UHD,256 GB SSD Storage,No HDD,0.19696969696969696, Upto 6 Hrs Battery Life,6.0
1807,Dell,23819.0,Intel Pentium Quad-Core, 32 GB Expandable,8 GB , DDR4 RAM ,0.2,LCD,15.6 ,UHD,256 GB SSD Storage,No HDD,0.19696969696969696, Upto 7 Hrs Battery Life,7.0
1809,Lenovo,50990.0,Intel Core i5 (10th Gen), 12 GB Expandable,8 GB , DDR4 RAM ,0.29090909090909095,LED,15.6 ,"GeForce MX130 GPU, 2 GB",NO SSD,1024 GB HDD Storage,0.19696969696969696, Upto 7.5 Hrs Battery Life,7.5
